,City,Max Temp,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Date,Converted Date,Country
131,qandala,68.4,11.47,49.87,100,0,3.04,1554944721,2019-04-11,so
132,bayir,52.0,37.27,28.22,100,75,2.15,1554942000,2019-04-11,jo
133,nayagarh,69.21,20.13,85.1,91,0,2.93,1554944721,2019-04-11,in
134,ingraj bazar,69.39,25.0,88.15,91,0,6.06,1554944722,2019-04-11,in
135,riyadh,69.8,24.63,46.72,60,75,5.82,1554940800,2019-04-11,sa
136,moundsville,55.99,39.92,-80.74,43,90,5.82,1554944662,2019-04-11,us
137,awbari,69.93,26.59,12.77,15,76,10.76,1554944722,2019-04-11,ly
138,kremenki,44.6,54.51,48.87,75,32,2.24,1554940800,2019-04-11,ru
139,monrovia,78.8,6.33,-10.8,94,20,6.62,1554940800,2019-04-11,lr
140,haridwar,66.2,29.97,78.17,77,0,3.36,1554942600,2019-04-11,in
141,mul,77.58,20.07,79.68,53,0,9.19,1554944723,2019-04-11,in
142,were ilu,48.06,10.6,39.43,86,0,1.59,1554944724,2019-04-11,et
143,baringo,60.75,0.47,35.97,94,36,0.92,1554944724,2019-04-11,ke
144,phalaborwa,68.0,-23.95,31.14,94,88,5.82,1554940800,2019-04-11,za
145,can,54.0,46.08,11.97,100,92,3.36,1554944710,2019-04-11,tr
146,khandbari,33.3,27.38,87.21,66,12,1.7,1554944724,2019-04-11,np
147,rivera,71.1,-30.9,-55.54,69,20,5.17,1554944725,2019-04-11,uy
148,ikom,77.13,5.96,8.72,86,24,3.38,1554944725,2019-04-11,ng
149,tacna,68.0,-18.01,-70.25,68,0,6.93,1554940800,2019-04-11,pe
150,springbok,47.25,-29.67,17.88,85,0,2.59,1554944725,2019-04-11,za
151,aksarka,-2.43,66.56,67.8,48,0,6.17,1554944725,2019-04-11,ru
152,verkhnyaya sinyachikha,29.7,57.98,61.67,78,64,2.71,1554944725,2019-04-11,ru
153,boffa,75.96,10.18,-14.04,83,0,5.73,1554944726,2019-04-11,gn
154,birin,48.24,35.01,36.67,86,8,5.39,1554944726,2019-04-11,dz
155,port perry,42.8,44.1,-78.95,44,1,9.17,1554944717,2019-04-11,ca
156,lasa,55.4,34.92,32.53,87,75,4.7,1554942600,2019-04-11,cn
157,dejen,57.51,10.16,38.15,93,64,2.04,1554944727,2019-04-11,et
158,brcko,51.8,44.87,18.81,100,40,3.36,1554942600,2019-04-11,ba
159,rakiv lis,43.02,51.62,24.92,59,92,9.98,1554944727,2019-04-11,ua
160,kharan,61.02,28.58,65.42,79,36,2.15,1554944728,2019-04-11,pk
161,athens,78.01,34.8,-86.97,60,1,5.61,1554944466,2019-04-11,us
162,real,90.0,14.67,121.6,55,40,2.24,1554944484,2019-04-11,pt
163,farah,60.39,32.37,62.11,84,92,3.6,1554944729,2019-04-11,af
164,mitrofanovka,45.99,45.45,34.68,96,0,2.26,1554944729,2019-04-11,ru
165,ust-koksa,20.34,50.27,85.62,74,20,2.26,1554944729,2019-04-11,ru
166,calabozo,90.09,8.92,-67.43,35,12,8.41,1554944729,2019-04-11,ve
167,bocicoiu mare,55.4,47.96,24.01,62,12,3.36,1554942600,2019-04-11,ro
168,elk grove village,41.0,42.01,-87.94,80,90,18.34,1554944724,2019-04-11,us
169,la palma,70.83,5.36,-74.39,89,32,2.59,1554944731,2019-04-11,pa
170,methoni,54.0,36.82,21.7,93,0,4.7,1554944442,2019-04-11,gr
171,ribas do rio pardo,73.26,-20.45,-53.76,67,0,5.95,1554944731,2019-04-11,br
172,sur,79.2,22.57,59.53,91,24,5.95,1554944731,2019-04-11,om
173,cuamba,68.31,-14.8,36.54,95,24,3.71,1554944732,2019-04-11,mz
174,nyrob,34.65,60.74,56.73,96,92,10.42,1554944732,2019-04-11,ru
175,sidrolandia,75.2,-20.93,-54.96,73,0,9.17,1554940800,2019-04-11,br
176,tiznit,60.57,29.7,-9.73,76,0,4.16,1554944733,2019-04-11,ma
177,ardalstangen,12.0,61.24,7.7,70,8,1.99,1554944714,2019-04-11,no
178,paracuru,82.4,-3.41,-39.03,83,40,5.82,1554944290,2019-04-11,br
179,senanga,64.26,-16.1,23.3,96,88,6.96,1554944733,2019-04-11,zm
180,kawardha,66.87,22.01,81.23,75,0,1.92,1554944734,2019-04-11,in
181,front royal,62.6,38.92,-78.19,40,1,4.7,1554944617,2019-04-11,us
182,gwadar,80.28,25.12,62.33,70,32,3.71,1554944734,2019-04-11,pk
183,azare,76.77,11.67,10.19,53,0,3.71,1554944734,2019-04-11,ng
184,antalaha,76.32,-14.9,50.28,95,20,8.41,1554944734,2019-04-11,mg
185,kalmar,33.01,56.66,16.36,82,88,9.17,1554944404,2019-04-11,se
186,zverinogolovskoye,31.23,54.46,64.85,77,0,3.83,1554944734,2019-04-11,ru
187,westport,46.99,53.8,-9.52,81,44,1.01,1554944584,2019-04-11,ie
188,manta,44.46,45.1,24.1,90,20,2.93,1554944736,2019-04-11,ec
189,morros,78.8,-2.87,-44.04,94,0,4.7,1554940800,2019-04-11,br
190,ngorongoro,57.24,-3.24,35.49,95,68,2.37,1554944736,2019-04-11,tz
191,youghal,46.99,51.95,-7.85,93,75,5.82,1554944637,2019-04-11,ie
192,warrington,39.0,53.39,-2.59,69,0,8.05,1554944475,2019-04-11,us
193,havoysund,33.8,71.0,24.66,74,92,33.33,1554942000,2019-04-11,no
194,mirabad,58.23,28.27,61.33,59,48,6.73,1554944737,2019-04-11,af
195,lodja,74.43,-3.52,23.6,95,88,3.15,1554944737,2019-04-11,cd
196,anzio,51.8,41.45,12.63,76,0,4.7,1554944720,2019-04-11,it
197,makhachkala,50.0,42.98,47.5,93,90,2.24,1554942600,2019-04-11,ru
198,huallanca,47.97,-9.9,-76.94,67,80,0.58,1554944738,2019-04-11,pe
199,oum hadjer,80.91,13.3,19.7,24,0,11.54,1554944738,2019-04-11,td
200,tsaratanana,67.95,-16.8,47.65,84,0,4.38,1554944738,2019-04-11,mg
201,imeni morozova,30.99,59.98,31.04,92,90,4.47,1554944736,2019-04-11,ru
202,vila do maio,71.19,15.13,-23.22,98,8,15.57,1554944739,2019-04-11,cv
203,lubben,37.99,51.95,13.9,74,36,4.7,1554944709,2019-04-11,de
204,eenhana,77.0,-17.48,16.34,50,0,9.17,1554940800,2019-04-11,na
205,qaqortoq,44.6,60.72,-46.03,36,0,20.8,1554940200,2019-04-11,gl
206,bereda,46.0,43.27,-7.54,100,48,2.24,1554944639,2019-04-11,so
207,zhezkazgan,39.42,47.8,67.71,68,20,11.43,1554944740,2019-04-11,kz
208,aleksandrovka,52.11,46.65,38.4,95,92,2.93,1554944740,2019-04-11,ru
209,bechem,75.69,7.09,-2.02,93,36,8.19,1554944741,2019-04-11,gh
210,butembo,61.38,0.12,29.29,95,12,1.59,1554944741,2019-04-11,cd
211,chinsali,63.0,-10.55,32.07,92,44,4.16,1554944741,2019-04-11,zm
212,bulawayo,65.16,-20.16,28.59,86,92,10.2,1554944741,2019-04-11,zw
213,sakaraha,63.27,-22.91,44.53,87,0,2.71,1554944742,2019-04-11,mg
214,aksu,26.6,52.04,76.93,92,0,6.71,1554942600,2019-04-11,cn
215,yarmouth,41.0,50.71,-1.5,90,0,8.05,1554944732,2019-04-11,ca
216,abancay,44.37,-13.64,-72.88,94,48,1.81,1554944743,2019-04-11,pe
217,corinto,68.4,-18.36,-44.46,95,24,3.71,1554944743,2019-04-11,ni
218,filingue,73.17,14.35,3.32,52,0,3.04,1554944743,2019-04-11,ne
219,mazsalaca,30.0,57.87,25.05,86,24,1.01,1554944415,2019-04-11,lv
